[15:33:27] [info] HAZEL: Creating window Hazel Editor (1600, 900)
[15:33:27] [info] HAZEL: OpenGL Info:
[15:33:27] [info] HAZEL:   Vendor: NVIDIA Corporation
[15:33:27] [info] HAZEL:   Renderer: NVIDIA GeForce RTX 3060 Laptop GPU/PCIe/SSE2
[15:33:27] [info] HAZEL:   Version: 4.6.0 NVIDIA 536.67
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:28] [warning] HAZEL: Pixel data = -1
[15:33:32] [trace] HAZEL: Deserializing scene 'Untitled'
[15:33:32] [trace] HAZEL: Deserialized entity with ID = 12837192831273, name = Top
[15:33:32] [trace] HAZEL: Deserialized entity with ID = 12837192831273, name = Camera
[15:33:32] [trace] HAZEL: Deserialized entity with ID = 12837192831273, name = Right
[15:33:32] [trace] HAZEL: Deserialized entity with ID = 12837192831273, name = Left
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = 50
[15:33:32] [warning] HAZEL: Pixel data = 50
[15:33:32] [warning] HAZEL: Pixel data = 50
[15:33:32] [warning] HAZEL: Pixel data = 50
[15:33:32] [warning] HAZEL: Pixel data = 50
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -1
[15:33:32] [warning] HAZEL: Pixel data = -858993460
[15:33:33] [warning] HAZEL: Pixel data = -858993460
[15:33:33] [warning] HAZEL: Pixel data = -858993460
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = -1
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:33] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = 50
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -1
[15:33:34] [warning] HAZEL: Pixel data = -858993460
[15:33:34] [warning] HAZEL: Pixel data = -858993460
[15:33:34] [warning] HAZEL: Pixel data = -858993460
[15:33:34] [warning] HAZEL: Pixel data = -858993460
[15:33:34] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:36] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:38] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
[15:33:39] [warning] HAZEL: Pixel data = -858993460
